,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
188,2022,SE,FT,Data Engineer,140000,US,100,US,M
189,2023,SE,FT,Data Analyst,106000,US,0,US,M
190,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
191,2022,MI,FT,Data Engineer,118000,US,100,US,M
192,2023,SE,FT,Research Engineer,102544,US,0,US,M
193,2023,EX,FT,Director of Data Science,353200,US,0,US,M
194,2022,SE,FT,Data Engineer,185900,US,0,US,M
195,2023,SE,FT,Data Engineer,94000,US,0,US,M
196,2022,SE,FT,Data Architect,192564,US,100,US,M
197,2022,SE,FT,Machine Learning Engineer,167100,US,0,US,M
198,2022,MI,FT,Data Analyst,160000,US,0,US,M
199,2022,SE,FT,Data Engineer,104611,GB,100,GB,M
200,2022,SE,FT,Data Scientist,225000,US,0,US,M
201,2022,SE,FT,Data Scientist,207000,US,100,US,M
202,2022,EN,FT,Financial Data Analyst,100000,US,50,US,L
203,2023,SE,FT,Data Infrastructure Engineer,143000,US,100,US,M
204,2023,SE,FT,Data Engineer,126000,US,0,US,M
205,2023,SE,FT,Machine Learning Engineer,176100,US,0,US,L
206,2023,SE,FT,Data Scientist,155000,US,0,US,M
207,2023,SE,FT,Data Engineer,115000,US,0,US,M
208,2023,MI,FT,Data Scientist,115360,US,100,US,M
209,2023,SE,FT,Machine Learning Scientist,220000,US,0,US,M
210,2022,MI,FT,Data Engineer,175000,US,100,US,M
211,2021,EN,FT,Data Analyst,60000,US,100,US,S
212,2022,MI,FT,Data Scientist,120000,US,100,US,M
213,2023,MI,FT,Data Analyst,121500,US,0,US,M
214,2022,SE,FT,Data Analyst,95000,US,0,US,M
215,2023,MI,FT,Data Engineer,140000,US,100,US,M
216,2023,SE,FT,Data Engineer,147000,US,0,US,M
217,2023,SE,FT,Data Engineer,241871,US,0,US,M
218,2020,EN,FT,Data Engineer,41689,JP,100,JP,S
219,2022,SE,FT,Data Scientist,186000,US,0,US,M
220,2022,SE,FT,Data Analyst,129000,US,0,US,M
221,2022,MI,FT,Analytics Engineer,73880,GB,0,GB,M
222,2022,SE,FT,Machine Learning Engineer,210000,US,100,US,M
223,2023,SE,FT,Data Scientist,152000,US,0,US,M
224,2023,EN,FT,Data Analyst,40663,CA,0,CA,L
225,2022,EN,FT,Data Scientist,52008,BE,50,BE,S
226,2022,SE,FT,Data Scientist,100000,BR,100,US,M
227,2022,MI,FT,Data Analyst,100000,US,0,US,M
228,2023,SE,FT,Data Analyst,385000,US,0,US,M
229,2022,SE,FT,Data Analyst,112900,US,100,US,M
230,2023,SE,FT,Data Science Engineer,100000,US,0,US,M
231,2023,SE,FT,Analytics Engineer,120000,US,100,US,M
232,2023,SE,FT,Machine Learning Engineer,100000,US,0,US,M
233,2022,MI,FT,Data Analyst,79000,US,0,US,M
234,2023,SE,FT,Data Engineer,163800,US,0,US,M
235,2022,EX,FT,Data Manager,125976,CA,50,CA,L
236,2023,SE,FT,Data Engineer,133300,US,0,US,M
237,2023,SE,FT,Data Scientist,70000,US,0,US,M
238,2021,EN,FT,Machine Learning Engineer,85000,NL,100,DE,S
239,2023,SE,FT,Data Engineer,160000,US,0,US,M
240,2022,SE,FT,Data Analyst,131000,US,0,US,M
241,2022,SE,FT,Data Engineer,129400,US,100,US,M
242,2023,SE,FT,Data Analyst,100000,US,100,US,M
243,2022,SE,FT,Analytics Engineer,170000,US,100,US,M
244,2022,MI,FT,Data Analyst,150000,US,0,US,M
245,2022,SE,FT,Data Scientist,156600,US,100,US,M
246,2023,SE,FT,Data Analyst,169000,US,0,US,M
247,2023,SE,FT,Analytics Engineer,143860,US,0,US,M
248,2022,SE,FT,Data Analyst,169000,US,0,US,M
249,2022,SE,FT,Data Scientist,144000,US,0,US,M
250,2020,MI,FT,Data Engineer,106000,US,100,US,L
251,2022,SE,FT,Data Engineer,170000,US,0,US,M
252,2022,SE,FT,Data Analyst,100000,US,0,US,M
253,2023,SE,FT,Data Engineer,65000,US,100,US,M
254,2023,SE,FT,Data Scientist,113750,IE,0,IE,M
255,2023,SE,FT,Data Scientist,183500,US,100,US,M
256,2022,SE,FT,Data Engineer,80000,US,0,US,L
257,2022,SE,FT,Data Scientist,185000,US,100,US,M
258,2023,SE,FT,Data Scientist,48289,ES,0,ES,M
259,2022,SE,FT,Data Scientist,168000,US,100,US,M
260,2022,SE,FT,Data Engineer,185900,US,0,US,M
261,2023,EX,FT,Data Scientist,100000,US,0,US,M
262,2023,SE,FT,Analytics Engineer,207000,US,0,US,M
263,2023,SE,FT,Data Engineer,130000,US,100,US,M
264,2023,SE,FT,Data Scientist,180560,US,0,US,M
265,2022,SE,FT,Data Scientist,125000,US,0,US,M
266,2022,SE,FT,ML Engineer,84000,US,100,US,M
267,2023,SE,FT,Data Analyst,75000,US,100,US,M
268,2022,MI,FT,Analytics Engineer,104663,GB,0,GB,M
269,2022,SE,FT,Data Engineer,150000,US,100,US,M
270,2021,EN,FT,3D Computer Vision Researcher,20000,AS,0,AS,M
271,2023,SE,FT,Data Scientist,154000,US,0,US,M
272,2022,SE,FT,Data Scientist,95000,US,0,US,M
273,2022,SE,FT,Data Engineer,175000,US,0,US,M
274,2023,SE,FT,Data Engineer,250000,US,100,US,M
275,2022,SE,FT,Data Scientist,165000,US,100,US,M
276,2020,EX,FT,Data Engineer,79833,ES,50,ES,L
277,2023,SE,FT,Machine Learning Engineer,323300,US,0,US,M
278,2022,SE,FT,Data Analyst,112900,US,100,US,M
279,2022,SE,FT,Data Engineer,135000,PR,100,PR,M
280,2023,SE,FT,Data Analyst,187000,US,0,US,M
281,2022,MI,FT,Data Analyst,160000,US,0,US,M
282,2022,SE,FT,Data Scientist,122600,US,0,US,M
283,2023,SE,FT,Data Analyst,51508,ES,0,ES,M
284,2023,SE,FT,Data Engineer,221484,US,0,US,M
285,2022,SE,FT,Data Science Manager,137141,US,100,US,M
286,2020,EX,FT,Staff Data Analyst,15000,NG,0,CA,M
287,2023,SE,FT,Machine Learning Engineer,135000,US,0,US,M
288,2023,SE,FT,Deep Learning Researcher,123405,DE,0,DE,L
289,2023,SE,FT,Machine Learning Engineer,200000,US,100,US,M
290,2023,SE,FT,Data Architect,115000,US,100,US,M
291,2023,SE,FT,Data Scientist,138784,US,100,US,M
292,2022,SE,FT,Data Scientist,141525,US,100,US,M
293,2022,SE,FT,Data Analyst,127000,US,100,US,M
294,2023,SE,FT,Data Engineer,240500,US,0,US,L
295,2022,MI,FT,Data Scientist,57872,GB,50,GB,M
296,2022,SE,FT,Data Analyst,61566,GB,0,GB,M
297,2022,SE,FT,Product Data Scientist,8000,IN,100,SG,L
298,2023,SE,FT,Machine Learning Engineer,128280,US,0,US,M
299,2022,SE,FT,Data Engineer,185900,US,0,US,M
300,2023,SE,FT,Data Analyst,160000,US,100,US,M
301,2023,SE,FT,Data Analyst,138900,US,0,US,M
302,2022,SE,FT,Data Scientist,165220,US,100,US,M
303,2022,MI,FT,Machine Learning Researcher,100000,US,100,US,M
304,2023,SE,FT,Data Scientist,225000,US,0,US,M
305,2023,SE,FT,Data Engineer,153000,CA,100,CA,M
306,2023,SE,FT,Data Scientist,297300,US,100,US,M
307,2023,SE,FT,Data Scientist,200000,US,100,US,M
308,2023,SE,FT,Data Engineer,160000,US,100,US,M
309,2022,SE,FT,ETL Developer,63000,US,100,US,M
310,2023,SE,FT,Data Scientist,90700,US,0,US,M
311,2023,SE,FT,Data Engineer,178500,US,100,US,M
312,2023,EN,FT,Data Engineer,65000,US,0,US,M
313,2022,MI,FT,Data Scientist,67723,GB,0,GB,M
314,2023,SE,FT,Analytics Engineer,87000,US,0,US,M
315,2023,MI,FT,Machine Learning Engineer,175000,US,0,US,M
316,2022,SE,FT,Data Engineer,100000,US,0,US,M
317,2022,SE,FT,Data Science Consultant,139000,US,0,US,M
318,2023,SE,FT,Research Scientist,110000,US,100,US,M
319,2023,SE,FT,Data Engineer,226700,US,0,US,M
320,2022,SE,FT,Data Engineer,150000,US,100,US,M
321,2023,SE,FT,Data Analyst,128000,US,0,US,M
322,2022,SE,FT,Data Engineer,25000,US,100,US,M
323,2023,SE,FT,Data Engineer,107250,US,100,US,M
324,2022,SE,FT,Machine Learning Engineer,131300,US,100,US,L
325,2023,EN,FT,Data Scientist,110000,US,50,US,S
326,2023,SE,FT,ML Engineer,203500,US,100,US,M
327,2022,SE,FT,Data Scientist,150000,US,0,US,M
328,2021,MI,FT,Data Scientist,90734,DE,50,DE,L
329,2022,SE,FT,Data Engineer,170000,US,0,US,M
330,2023,SE,FT,Data Engineer,129000,US,0,US,M
331,2022,SE,FT,Analytics Engineer,122500,US,100,US,M
332,2023,SE,FT,Data Architect,113900,US,100,US,M
333,2023,MI,FT,Data Engineer,70000,US,0,US,M
334,2022,MI,FT,Data Scientist,78000,US,100,US,M
335,2023,SE,FT,Machine Learning Engineer,204500,US,0,US,M
336,2023,SE,FT,Data Scientist,48289,ES,0,ES,M
337,2023,EX,FT,Data Scientist,258750,US,0,US,M
338,2023,SE,FT,Data Architect,280100,US,100,US,M
339,2023,MI,FT,Data Architect,167500,US,0,US,M
340,2022,MI,FT,Data Engineer,73546,GR,100,GR,M
341,2022,SE,FT,Machine Learning Engineer,255000,MX,100,MX,M
342,2022,SE,FT,Data Engineer,115000,US,0,US,M
343,2022,MI,FT,Data Scientist,115573,NL,0,NL,M
344,2021,MI,FT,Data Engineer,82528,GB,100,GB,L
345,2022,MI,FT,Data Scientist,110820,GB,0,GB,M
346,2023,SE,FT,Data Analyst,106020,US,0,US,M
347,2022,MI,FT,Data Analyst,42026,ES,100,ES,M
348,2022,EN,FT,Data Analyst,6359,FR,100,IN,L
349,2022,MI,FT,Data Scientist,31795,IN,100,US,M
350,2023,MI,FT,Data Engineer,120000,US,0,US,M
351,2022,SE,FT,Data Scientist,127000,US,100,US,M
352,2022,SE,FT,Data Scientist,47280,ES,0,ES,M
353,2023,SE,FT,Analytics Engineer,214200,US,0,US,M
354,2023,SE,FT,Data Scientist,210000,US,0,US,M
355,2022,MI,FT,Data Science Manager,241000,US,100,US,M
356,2023,SE,FT,Data Engineer,109000,US,0,US,M
357,2023,SE,FT,Data Analyst,230000,US,0,US,M
358,2022,SE,FT,Data Engineer,42026,PT,0,PT,M
359,2022,SE,FT,AI Scientist,125000,CO,100,CO,L
360,2023,EX,FT,Data Engineer,194500,US,0,US,M
361,2022,SE,FT,Data Analyst,110925,US,100,US,M
362,2023,SE,FT,Data Engineer,270703,US,0,US,M
363,2022,MI,FT,Applied Machine Learning Scientist,173000,US,50,US,M
364,2023,MI,FT,Machine Learning Engineer,150000,US,100,US,M
365,2022,SE,FT,Data Scientist,138600,US,100,US,M
366,2023,SE,FT,Data Scientist,175000,US,100,US,M
367,2022,SE,FT,Data Scientist,47280,ES,0,ES,M
368,2023,MI,FT,Research Engineer,120000,US,100,US,M
369,2023,SE,FT,Data Strategist,72000,CA,0,CA,M
370,2023,SE,FT,Data Analyst,153600,US,0,US,M
371,2023,EX,FT,Data Engineer,220000,US,0,US,M
372,2023,SE,FT,Machine Learning Engineer,220000,US,0,US,M
373,2023,SE,FT,Research Engineer,85847,DE,100,DE,S
374,2022,MI,FL,Applied Machine Learning Scientist,30523,IN,100,IN,S
375,2023,SE,FT,Data Scientist,110500,US,100,US,M
376,2022,SE,FT,Data Science Consultant,145000,US,0,US,M
377,2023,MI,FT,Research Scientist,102772,GB,0,GB,M
378,2023,SE,FT,Machine Learning Engineer,109400,US,0,US,M
379,2023,SE,FT,Data Engineer,175308,US,0,US,M
380,2023,SE,FT,Data Scientist,170000,US,0,US,M
381,2023,MI,FT,Applied Data Scientist,20670,IN,100,IN,L
382,2023,SE,FT,Data Engineer,129000,US,0,US,M
383,2022,SE,FT,Data Engineer,198800,US,0,US,M
384,2022,EN,FT,Data Analyst,46000,US,100,US,L
385,2023,SE,FT,Data Scientist,228000,US,0,US,M
386,2022,SE,FT,Data Analyst,95000,US,0,US,M
387,2022,SE,FT,Data Scientist,141525,US,100,US,M
388,2022,SE,FT,Data Scientist,236900,US,100,US,L
389,2022,MI,FT,Data Engineer,92350,GB,100,GB,M
390,2023,SE,FT,Data Engineer,129300,US,0,US,M
391,2023,SE,FT,Data Scientist,135000,US,0,US,M
392,2023,SE,FT,Machine Learning Engineer,150000,US,0,US,M
393,2023,SE,FT,Data Analyst,85500,US,0,US,M
394,2022,SE,FT,Data Engineer,206699,US,0,US,M
395,2023,SE,FT,Data Engineer,163800,US,0,US,M
396,2022,SE,FT,Data Architect,213120,US,100,US,M
397,2023,SE,FT,Machine Learning Software Engineer,170000,US,0,US,M
398,2022,SE,FT,Data Engineer,63000,US,0,US,M
399,2023,SE,FT,Data Analyst,125600,US,100,US,M
400,2022,EN,PT,Data Scientist,110000,DO,100,FR,M
401,2022,EN,FT,Data Scientist,84053,BE,100,BE,L
402,2023,EN,FT,Data Scientist,12888,IN,50,IN,S
403,2023,SE,FT,Data Analyst,51508,ES,0,ES,M
404,2022,EN,FT,Machine Learning Developer,40000,PK,100,AU,M
405,2022,SE,FT,Analytics Engineer,193750,US,100,US,M
406,2023,EN,FT,Data Engineer,115100,US,0,US,M
407,2023,SE,FT,Data Scientist,190000,US,0,US,M
408,2023,MI,FT,Data Analyst,79000,US,0,US,M
409,2022,SE,FT,Data Analyst,99000,US,0,US,M
410,2021,EN,FT,Machine Learning Developer,15000,TH,100,TH,L
411,2023,SE,FT,Data Engineer,135000,US,100,US,M
412,2023,SE,FT,Data Strategist,90000,CA,0,CA,M
413,2023,SE,FT,Machine Learning Engineer,180000,US,100,US,M
414,2023,EX,FT,Data Engineer,116704,US,100,US,M
415,2022,SE,FT,Data Scientist,190000,US,0,US,M
416,2022,SE,FT,Data Analyst,105000,US,100,US,M
417,2022,EN,FT,Data Engineer,129000,US,100,US,L
418,2022,MI,FT,Business Data Analyst,150000,US,100,US,L
419,2022,SE,FT,Data Engineer,250000,US,0,US,M
420,2022,SE,FT,Data Science Manager,243225,US,100,US,M
421,2022,MI,FT,Data Engineer,75000,US,100,US,M
422,2022,SE,FT,Lead Data Scientist,29944,PT,50,PT,S
423,2022,SE,FT,Data Scientist,120000,US,100,US,M
424,2023,SE,FT,Machine Learning Engineer,181000,US,0,US,M
425,2022,SE,FT,Data Engineer,36773,ES,0,ES,M
426,2022,SE,FT,Data Scientist,152000,US,0,US,M
427,2023,SE,FT,Data Scientist,129300,US,0,US,M
428,2023,MI,FT,Data Analyst,100000,US,0,US,M
429,2023,SE,FT,Data Engineer,120000,US,0,US,M
430,2022,SE,FT,Data Engineer,70500,US,0,US,M
431,2021,SE,FT,Data Scientist,103691,CA,100,CA,L
432,2023,SE,FT,Data Engineer,145000,US,0,US,M
433,2023,SE,FT,Data Analyst,153600,US,0,US,M
434,2022,SE,FT,Data Scientist,136000,US,100,US,M
435,2022,SE,FT,Data Engineer,160000,US,0,US,M
436,2023,SE,FT,Data Engineer,145000,US,0,US,M
437,2022,MI,FT,Data Scientist,127500,US,100,US,M
438,2023,MI,FT,Data Scientist,65062,HK,0,HK,L
439,2023,SE,FT,Machine Learning Engineer,139500,US,0,US,M
440,2023,SE,FT,Applied Scientist,136000,US,0,US,L
441,2020,EN,FT,Data Scientist,49268,DE,0,DE,S
442,2022,SE,FT,Machine Learning Engineer,204500,US,0,US,M
443,2022,SE,FT,Data Scientist,129300,US,0,US,M
444,2022,SE,FT,Data Engineer,215000,US,100,US,M
445,2022,EN,FT,AI Programmer,40000,PK,100,AU,M
446,2023,SE,FT,Data Scientist,134000,US,0,US,M
447,2022,SE,FT,BI Developer,120000,US,100,US,M
448,2023,EX,FT,Data Engineer,235000,US,0,US,M
449,2023,SE,FT,Data Analyst,110000,US,100,US,S
450,2023,MI,FT,Research Scientist,185000,US,0,US,M
451,2022,SE,FT,Data Analyst,90320,US,0,US,M
452,2022,EN,FT,Data Scientist,82000,US,0,US,L
453,2023,SE,FT,Data Analyst,130000,US,100,US,M
454,2023,SE,FT,Data Scientist,105200,US,0,US,M
455,2023,SE,FT,Machine Learning Engineer,122700,US,0,US,M
456,2023,MI,FT,Data Engineer,120000,US,100,US,M
457,2022,SE,FT,Data Engineer,132320,US,0,US,M
458,2022,SE,FT,Data Scientist,130000,US,100,US,M
459,2023,MI,FT,Data Engineer,59020,ES,100,ES,M
460,2020,MI,FT,Data Engineer,130800,ES,100,US,M
